Lithuania,LTU,Urban population (% of total population),67.855
Luxembourg,LUX,Urban population (% of total population),91.223
"Macao SAR, China",MAC,Urban population (% of total population),100
Madagascar,MDG,Urban population (% of total population),37.861
Malawi,MWI,Urban population (% of total population),17.174
Malaysia,MYS,Urban population (% of total population),76.607
Maldives,MDV,Urban population (% of total population),40.238
Mali,MLI,Urban population (% of total population),43.136
Malta,MLT,Urban population (% of total population),94.678
Marshall Islands,MHL,Urban population (% of total population),77.417
Mauritania,MRT,Urban population (% of total population),54.507
Mauritius,MUS,Urban population (% of total population),40.766
Mexico,MEX,Urban population (% of total population),80.444
"Micronesia, Fed. Sts.",FSM,Urban population (% of total population),22.812
Moldova,MDA,Urban population (% of total population),42.726
Monaco,MCO,Urban population (% of total population),100
Mongolia,MNG,Urban population (% of total population),68.543
Montenegro,MNE,Urban population (% of total population),67.15
Morocco,MAR,Urban population (% of total population),62.994
Mozambique,MOZ,Urban population (% of total population),36.528
Myanmar,MMR,Urban population (% of total population),30.852
Namibia,NAM,Urban population (% of total population),51.042
Nauru,NRU,Urban population (% of total population),100
Nepal,NPL,Urban population (% of total population),20.153
Netherlands,NLD,Urban population (% of total population),91.876
New Caledonia,NCL,Urban population (% of total population),71.104
New Zealand,NZL,Urban population (% of total population),86.615
Nicaragua,NIC,Urban population (% of total population),58.76
Niger,NER,Urban population (% of total population),16.517
Nigeria,NGA,Urban population (% of total population),51.157
North Macedonia,MKD,Urban population (% of total population),58.208
Northern Mariana Islands,MNP,Urban population (% of total population),91.708
Norway,NOR,Urban population (% of total population),82.616
Oman,OMN,Urban population (% of total population),85.443
Pakistan,PAK,Urban population (% of total population),36.907
Palau,PLW,Urban population (% of total population),80.47
Panama,PAN,Urban population (% of total population),68.059
Papua New Guinea,PNG,Urban population (% of total population),13.25
Paraguay,PRY,Urban population (% of total population),61.879
Peru,PER,Urban population (% of total population),78.099
Philippines,PHL,Urban population (% of total population),47.149
Poland,POL,Urban population (% of total population),60.037
Portugal,PRT,Urban population (% of total population),65.764
Puerto Rico,PRI,Urban population (% of total population),93.576
Qatar,QAT,Urban population (% of total population),99.188
Romania,ROU,Urban population (% of total population),54.084
Russian Federation,RUS,Urban population (% of total population),74.587
Rwanda,RWA,Urban population (% of total population),17.313
Samoa,WSM,Urban population (% of total population),18.056
San Marino,SMR,Urban population (% of total population),97.368
Sao Tome and Principe,STP,Urban population (% of total population),73.598
Saudi Arabia,SAU,Urban population (% of total population),84.065
Senegal,SEN,Urban population (% of total population),47.653
Serbia,SRB,Urban population (% of total population),56.26
Seychelles,SYC,Urban population (% of total population),57.119
Sierra Leone,SLE,Urban population (% of total population),42.484
Singapore,SGP,Urban population (% of total population),100
Sint Maarten (Dutch part),SXM,Urban population (% of total population),100
Slovak Republic,SVK,Urban population (% of total population),53.729
Slovenia,SVN,Urban population (% of total population),54.822
Solomon Islands,SLB,Urban population (% of total population),24.21
Somalia,SOM,Urban population (% of total population),45.554
South Africa,ZAF,Urban population (% of total population),66.856
South Sudan,SSD,Urban population (% of total population),19.899
Spain,ESP,Urban population (% of total population),80.565
Sri Lanka,LKA,Urban population (% of total population),18.585
St. Kitts and Nevis,KNA,Urban population (% of total population),30.799
St. Lucia,LCA,Urban population (% of total population),18.754
St. Martin (French part),MAF,Urban population (% of total population),..
St. Vincent and the Grenadines,VCT,Urban population (% of total population),52.614
Sudan,SDN,Urban population (% of total population),34.936
Suriname,SUR,Urban population (% of total population),66.095
Sweden,SWE,Urban population (% of total population),87.708
Switzerland,CHE,Urban population (% of total population),73.849
Syrian Arab Republic,SYR,Urban population (% of total population),54.821
Tajikistan,TJK,Urban population (% of total population),27.309
Tanzania,TZA,Urban population (% of total population),34.5
Thailand,THA,Urban population (% of total population),50.692
Timor-Leste,TLS,Urban population (% of total population),30.947
Togo,TGO,Urban population (% of total population),42.248
Tonga,TON,Urban population (% of total population),23.107
Trinidad and Tobago,TTO,Urban population (% of total population),53.187
Tunisia,TUN,Urban population (% of total population),69.254
Turkiye,TUR,Urban population (% of total population),75.63
Turkmenistan,TKM,Urban population (% of total population),52.048
Turks and Caicos Islands,TCA,Urban population (% of total population),93.36
Tuvalu,TUV,Urban population (% of total population),63.215
Uganda,UGA,Urban population (% of total population),24.361
Ukraine,UKR,Urban population (% of total population),69.473
United Arab Emirates,ARE,Urban population (% of total population),86.789
United Kingdom,GBR,Urban population (% of total population),83.652
United States,USA,Urban population (% of total population),82.459
Uruguay,URY,Urban population (% of total population),95.426
Uzbekistan,UZB,Urban population (% of total population),50.433
Vanuatu,VUT,Urban population (% of total population),25.394
"Venezuela, RB",VEN,Urban population (% of total population),88.24
Viet Nam,VNM,Urban population (% of total population),36.628
Virgin Islands (U.S.),VIR,Urban population (% of total population),95.832
