Ireland,IRL,"Central government debt, total (% of GDP)",69.6037207995459
Isle of Man,IMN,"Central government debt, total (% of GDP)",..
Israel,ISR,"Central government debt, total (% of GDP)",..
Italy,ITA,"Central government debt, total (% of GDP)",..
Jamaica,JAM,"Central government debt, total (% of GDP)",92.2464484531468
Japan,JPN,"Central government debt, total (% of GDP)",198.017084451493
Jordan,JOR,"Central government debt, total (% of GDP)",79.3451909991455
Kazakhstan,KAZ,"Central government debt, total (% of GDP)",18.4830469477519
Kenya,KEN,"Central government debt, total (% of GDP)",..
Kiribati,KIR,"Central government debt, total (% of GDP)",..
"Korea, Dem. People's Rep.",PRK,"Central government debt, total (% of GDP)",..
"Korea, Rep.",KOR,"Central government debt, total (% of GDP)",39.969480137044
Kosovo,XKX,"Central government debt, total (% of GDP)",..
Kuwait,KWT,"Central government debt, total (% of GDP)",..
Kyrgyz Republic,KGZ,"Central government debt, total (% of GDP)",51.3325378370411
Lao PDR,LAO,"Central government debt, total (% of GDP)",..
Latvia,LVA,"Central government debt, total (% of GDP)",..
Lebanon,LBN,"Central government debt, total (% of GDP)",..
Lesotho,LSO,"Central government debt, total (% of GDP)",32.5583713658631
Liberia,LBR,"Central government debt, total (% of GDP)",..
Libya,LBY,"Central government debt, total (% of GDP)",..
Liechtenstein,LIE,"Central government debt, total (% of GDP)",..
Lithuania,LTU,"Central government debt, total (% of GDP)",42.6033861692072
Luxembourg,LUX,"Central government debt, total (% of GDP)",..
"Macao SAR, China",MAC,"Central government debt, total (% of GDP)",..
Madagascar,MDG,"Central government debt, total (% of GDP)",..
Malawi,MWI,"Central government debt, total (% of GDP)",44.8932535547687
Malaysia,MYS,"Central government debt, total (% of GDP)",52.4213502119727
Maldives,MDV,"Central government debt, total (% of GDP)",..
Mali,MLI,"Central government debt, total (% of GDP)",..
Malta,MLT,"Central government debt, total (% of GDP)",..
Marshall Islands,MHL,"Central government debt, total (% of GDP)",41.7255807037768
Mauritania,MRT,"Central government debt, total (% of GDP)",..
Mauritius,MUS,"Central government debt, total (% of GDP)",57.9616604310028
Mexico,MEX,"Central government debt, total (% of GDP)",41.2923656613406
"Micronesia, Fed. Sts.",FSM,"Central government debt, total (% of GDP)",22.8742043269231
Moldova,MDA,"Central government debt, total (% of GDP)",25.4510119081043
Monaco,MCO,"Central government debt, total (% of GDP)",..
Mongolia,MNG,"Central government debt, total (% of GDP)",60.8440397174621
Montenegro,MNE,"Central government debt, total (% of GDP)",..
Morocco,MAR,"Central government debt, total (% of GDP)",..
Mozambique,MOZ,"Central government debt, total (% of GDP)",78.8783408544136
Myanmar,MMR,"Central government debt, total (% of GDP)",..
Namibia,NAM,"Central government debt, total (% of GDP)",4.64019268079582
Nauru,NRU,"Central government debt, total (% of GDP)",..
Nepal,NPL,"Central government debt, total (% of GDP)",31.7771473472895
Netherlands,NLD,"Central government debt, total (% of GDP)",..
New Caledonia,NCL,"Central government debt, total (% of GDP)",..
New Zealand,NZL,"Central government debt, total (% of GDP)",32.7509143692784
Nicaragua,NIC,"Central government debt, total (% of GDP)",..
Niger,NER,"Central government debt, total (% of GDP)",..
Nigeria,NGA,"Central government debt, total (% of GDP)",..
North Macedonia,MKD,"Central government debt, total (% of GDP)",..
Northern Mariana Islands,MNP,"Central government debt, total (% of GDP)",..
Norway,NOR,"Central government debt, total (% of GDP)",..
Oman,OMN,"Central government debt, total (% of GDP)",..
Pakistan,PAK,"Central government debt, total (% of GDP)",..
Palau,PLW,"Central government debt, total (% of GDP)",85.1938697460682
Panama,PAN,"Central government debt, total (% of GDP)",..
Papua New Guinea,PNG,"Central government debt, total (% of GDP)",40.1535903679386
Paraguay,PRY,"Central government debt, total (% of GDP)",..
Peru,PER,"Central government debt, total (% of GDP)",26.5266050304096
Philippines,PHL,"Central government debt, total (% of GDP)",..
Poland,POL,"Central government debt, total (% of GDP)",..
Portugal,PRT,"Central government debt, total (% of GDP)",..
Puerto Rico,PRI,"Central government debt, total (% of GDP)",..
Qatar,QAT,"Central government debt, total (% of GDP)",..
Romania,ROU,"Central government debt, total (% of GDP)",43.2052963983837
Russian Federation,RUS,"Central government debt, total (% of GDP)",17.2760484379376
Rwanda,RWA,"Central government debt, total (% of GDP)",..
Samoa,WSM,"Central government debt, total (% of GDP)",..
San Marino,SMR,"Central government debt, total (% of GDP)",55.0853181004211
Sao Tome and Principe,STP,"Central government debt, total (% of GDP)",..
Saudi Arabia,SAU,"Central government debt, total (% of GDP)",..
Senegal,SEN,"Central government debt, total (% of GDP)",..
Serbia,SRB,"Central government debt, total (% of GDP)",..
Seychelles,SYC,"Central government debt, total (% of GDP)",..
Sierra Leone,SLE,"Central government debt, total (% of GDP)",..
Singapore,SGP,"Central government debt, total (% of GDP)",127.84847844747
Sint Maarten (Dutch part),SXM,"Central government debt, total (% of GDP)",..
Slovak Republic,SVK,"Central government debt, total (% of GDP)",63.1502033035484
Slovenia,SVN,"Central government debt, total (% of GDP)",..
Solomon Islands,SLB,"Central government debt, total (% of GDP)",7.74418282960556
Somalia,SOM,"Central government debt, total (% of GDP)",..
South Africa,ZAF,"Central government debt, total (% of GDP)",64.5892781356411
South Sudan,SSD,"Central government debt, total (% of GDP)",..
Spain,ESP,"Central government debt, total (% of GDP)",112.050634277545
Sri Lanka,LKA,"Central government debt, total (% of GDP)",..
St. Kitts and Nevis,KNA,"Central government debt, total (% of GDP)",..
St. Lucia,LCA,"Central government debt, total (% of GDP)",..
St. Martin (French part),MAF,"Central government debt, total (% of GDP)",..
St. Vincent and the Grenadines,VCT,"Central government debt, total (% of GDP)",..
Sudan,SDN,"Central government debt, total (% of GDP)",..
Suriname,SUR,"Central government debt, total (% of GDP)",..
Sweden,SWE,"Central government debt, total (% of GDP)",38.6717096874041
Switzerland,CHE,"Central government debt, total (% of GDP)",18.9542598066682
Syrian Arab Republic,SYR,"Central government debt, total (% of GDP)",..
Tajikistan,TJK,"Central government debt, total (% of GDP)",..
Tanzania,TZA,"Central government debt, total (% of GDP)",..
Thailand,THA,"Central government debt, total (% of GDP)",40.1403731171222
Timor-Leste,TLS,"Central government debt, total (% of GDP)",..
Togo,TGO,"Central government debt, total (% of GDP)",..
Tonga,TON,"Central government debt, total (% of GDP)",..
Trinidad and Tobago,TTO,"Central government debt, total (% of GDP)",..
Tunisia,TUN,"Central government debt, total (% of GDP)",..
Turkiye,TUR,"Central government debt, total (% of GDP)",33.9048002713116
Turkmenistan,TKM,"Central government debt, total (% of GDP)",..
Turks and Caicos Islands,TCA,"Central government debt, total (% of GDP)",..
Tuvalu,TUV,"Central government debt, total (% of GDP)",..
Uganda,UGA,"Central government debt, total (% of GDP)",38.4769453120331
Ukraine,UKR,"Central government debt, total (% of GDP)",48.3272696003568
United Arab Emirates,ARE,"Central government debt, total (% of GDP)",..
United Kingdom,GBR,"Central government debt, total (% of GDP)",160.337361974752
United States,USA,"Central government debt, total (% of GDP)",100.805042202199
Uruguay,URY,"Central government debt, total (% of GDP)",50.2718107442275
Uzbekistan,UZB,"Central government debt, total (% of GDP)",..
Vanuatu,VUT,"Central government debt, total (% of GDP)",..
"Venezuela, RB",VEN,"Central government debt, total (% of GDP)",..
Viet Nam,VNM,"Central government debt, total (% of GDP)",..
